concept_iid,term_code,pref_label,alt_labels,definition,broader_id,status,created,modified,scope_note,related_ids,exact_match_ids,close_match_ids,replaced_by,source,note
content-domain--soil,soil,Soil,,"Soil observations, descriptions, or measurements.",,active,2026-09-14,2026-09-14,High-level content domain used to describe the kinds of information present in a dataset release.,,,,,Jelinski Lab Data Registry local standard,
content-domain--vegetation,vegetation,Vegetation,,Vegetation observations or measurements.,,active,2026-09-14,2026-09-14,High-level content domain used to describe the kinds of information present in a dataset release.,,,,,Jelinski Lab Data Registry local standard,
content-domain--hydrology,hydrology,Hydrology,,Hydrologic observations or measurements.,,active,2026-09-14,2026-09-14,High-level content domain used to describe the kinds of information present in a dataset release.,,,,,Jelinski Lab Data Registry local standard,
content-domain--geospatial,geospatial,Geospatial,,Spatial reference or GIS data.,,active,2026-09-14,2026-09-14,High-level content domain used to describe the kinds of information present in a dataset release.,,,,,Jelinski Lab Data Registry local standard,
content-domain--laboratory,laboratory,Laboratory,,Laboratory analytical data.,,active,2026-09-14,2026-09-14,High-level content domain used to describe the kinds of information present in a dataset release.,,,,,Jelinski Lab Data Registry local standard,
content-domain--metadata,metadata,Metadata,,Documentation or metadata artifacts.,,active,2026-09-14,2026-09-14,High-level content domain used to describe the kinds of information present in a dataset release.,,,,,Jelinski Lab Data Registry local standard,
