concept_iid,term_code,pref_label,alt_labels,definition,broader_id,status,created,modified,scope_note,related_ids,exact_match_ids,close_match_ids,replaced_by,source,note
credit-contribution-degree--lead,lead,Lead,,Contributor had a lead degree of contribution for the assigned CRediT role.,,active,2026-09-14,2026-09-14,Optional CRediT contribution-degree qualifier used when multiple contributors share a role.,,,,,https://credit.niso.org/contributor-roles/,"CRediT permits lead, equal, and supporting as contribution-degree values."
credit-contribution-degree--equal,equal,Equal,,Contributors had an equal degree of contribution for the assigned CRediT role.,,active,2026-09-14,2026-09-14,Optional CRediT contribution-degree qualifier used when multiple contributors share a role.,,,,,https://credit.niso.org/contributor-roles/,"CRediT permits lead, equal, and supporting as contribution-degree values."
credit-contribution-degree--supporting,supporting,Supporting,,Contributor had a supporting degree of contribution for the assigned CRediT role.,,active,2026-09-14,2026-09-14,Optional CRediT contribution-degree qualifier used when multiple contributors share a role.,,,,,https://credit.niso.org/contributor-roles/,"CRediT permits lead, equal, and supporting as contribution-degree values."
