concept_iid,term_code,pref_label,alt_labels,definition,broader_id,status,created,modified,scope_note,related_ids,exact_match_ids,close_match_ids,replaced_by,source,note
release-status--registered,registered,Registered,,Concept/row created; basic metadata entered.,,active,2026-09-14,2026-09-14,Lifecycle state describing how far a dataset release has progressed through registration and curation.,,,,,Jelinski Lab Data Registry local standard,
release-status--acquired,acquired,Acquired,,Raw delivery acquired and integrity manifest created.,,active,2026-09-14,2026-09-14,Lifecycle state describing how far a dataset release has progressed through registration and curation.,,,,,Jelinski Lab Data Registry local standard,
release-status--inventoried,inventoried,Inventoried,,Files/tables/fields inventoried.,,active,2026-09-14,2026-09-14,Lifecycle state describing how far a dataset release has progressed through registration and curation.,,,,,Jelinski Lab Data Registry local standard,
release-status--triaged,triaged,Triaged,,Content relevance and domains reviewed.,,active,2026-09-14,2026-09-14,Lifecycle state describing how far a dataset release has progressed through registration and curation.,,,,,Jelinski Lab Data Registry local standard,
release-status--extracted,extracted,Extracted,,Raw source reproducibly extracted to workable tables.,,active,2026-09-14,2026-09-14,Lifecycle state describing how far a dataset release has progressed through registration and curation.,,,,,Jelinski Lab Data Registry local standard,
release-status--harmonized,harmonized,Harmonized,,Mapped into project target schema.,,active,2026-09-14,2026-09-14,Lifecycle state describing how far a dataset release has progressed through registration and curation.,,,,,Jelinski Lab Data Registry local standard,
release-status--published,published,Published,,Release or derivative product publicly released.,,active,2026-09-14,2026-09-14,Lifecycle state describing how far a dataset release has progressed through registration and curation.,,,,,Jelinski Lab Data Registry local standard,
release-status--deprecated,deprecated,Deprecated,,Retained for history but no longer preferred.,,active,2026-09-14,2026-09-14,Lifecycle state describing how far a dataset release has progressed through registration and curation.,,,,,Jelinski Lab Data Registry local standard,
